contract_id,client_id,product_type,financing_amount_tnd,debt_like_amount_tnd,total_assets_tnd,status
0,3122,Mudaraba,107471,-500.0,,default
1,815,Ijara,61038,57786.0,,closed
2,4287,Ijara,166250,12665.0,267678.0,default
3,3364,Mudaraba,116720,-500.0,0.0,active
4,4500,Mudaraba,130863,66708.0,0.0,default
5,1641,Ijara,151396,-500.0,0.0,default
6,2825,Murabaha,1363,,0.0,active
7,4729,Ijara,2936,,,default
8,3840,Murabaha,106227,30825.0,33885.0,active
9,3203,Ijara,192313,-500.0,335763.0,default
10,329,Ijara,182089,33541.0,,default
11,3518,Murabaha,197024,93054.0,0.0,closed
12,1674,Mudaraba,77411,,165212.0,closed
13,873,Ijara,120243,,0.0,closed
14,853,Ijara,21116,,,default
15,3091,Mudaraba,163007,-500.0,167696.0,closed
16,4505,Ijara,47501,,0.0,closed
17,2603,Murabaha,170801,,0.0,default
18,1680,Murabaha,194586,,,active
19,69,Ijara,171040,-500.0,432991.0,default
20,2779,Mudaraba,87840,,0.0,closed
21,109,Mudaraba,149472,,0.0,closed
22,3865,Ijara,25600,-500.0,366185.0,default
23,179,Murabaha,115919,41302.0,,closed
24,4384,Ijara,154857,-500.0,356136.0,active
25,595,Murabaha,185098,,0.0,default
26,4497,Murabaha,126549,40701.0,186789.0,default
27,342,Mudaraba,173208,,352299.0,default
28,942,Mudaraba,159761,,0.0,closed
29,953,Murabaha,108798,,354903.0,default
30,2187,Mudaraba,87807,33313.0,0.0,closed
31,4152,Mudaraba,97367,,0.0,active
32,1362,Mudaraba,60164,,,active
33,1273,Murabaha,4326,,0.0,default
34,2636,Murabaha,48588,,232966.0,closed
35,4377,Mudaraba,184383,-500.0,0.0,active
36,328,Ijara,192007,43790.0,473364.0,closed
37,3401,Mudaraba,134964,21672.0,0.0,default
38,654,Murabaha,55633,-500.0,,default
39,254,Mudaraba,103127,48867.0,327245.0,active
40,4995,Murabaha,89074,61465.0,,closed
41,1244,Mudaraba,88892,88559.0,44148.0,active
42,4314,Mudaraba,174542,92071.0,,active
43,989,Ijara,79012,-500.0,0.0,default
44,4452,Murabaha,198615,55648.0,146835.0,closed
45,2997,Ijara,151259,-500.0,0.0,default
46,877,Mudaraba,180425,-500.0,220657.0,active
47,2415,Ijara,58913,-500.0,0.0,closed
48,2883,Murabaha,100508,-500.0,16831.0,active
49,1223,Ijara,86092,-500.0,,closed
50,654,Murabaha,89741,18830.0,,closed
51,4277,Murabaha,108509,-500.0,336665.0,active
52,4310,Mudaraba,20403,3681.0,360266.0,closed
53,572,Murabaha,174364,-500.0,,closed
54,225,Murabaha,119888,34765.0,,active
55,4524,Murabaha,28675,72267.0,0.0,closed
56,2911,Mudaraba,58104,-500.0,,default
57,3757,Murabaha,22673,,0.0,default
58,918,Mudaraba,100477,-500.0,,closed
59,2262,Ijara,124777,-500.0,,active
60,3310,Murabaha,108422,-500.0,0.0,active
61,4022,Ijara,78527,,171991.0,active
62,3438,Ijara,72116,-500.0,0.0,default
63,3491,Murabaha,132778,97493.0,0.0,default
64,3064,Murabaha,190169,38523.0,,closed
65,1847,Murabaha,40619,-500.0,,active
66,3317,Ijara,45980,-500.0,310302.0,active
67,1998,Ijara,16504,68593.0,,closed
68,413,Ijara,58388,,,active
69,364,Murabaha,16366,93944.0,,active
70,545,Ijara,40236,,0.0,active
71,4044,Mudaraba,116140,,0.0,closed
72,1467,Mudaraba,20122,23956.0,,active
73,3149,Murabaha,156732,86064.0,268312.0,default
74,3129,Ijara,147104,-500.0,442043.0,default
75,3367,Mudaraba,31373,-500.0,0.0,active
76,445,Ijara,171204,3626.0,0.0,closed
77,261,Mudaraba,55144,,441442.0,closed
78,91,Murabaha,119910,,0.0,active
79,693,Ijara,42115,96887.0,0.0,default
80,4114,Ijara,2407,73568.0,,default
81,3497,Ijara,181775,44354.0,476678.0,active
82,997,Mudaraba,15390,87475.0,230121.0,default
83,372,Murabaha,104920,81494.0,349912.0,active
84,2322,Ijara,23738,-500.0,,default
85,3625,Mudaraba,16123,-500.0,0.0,active
86,574,Mudaraba,194085,-500.0,31128.0,closed
87,4518,Mudaraba,153948,-500.0,95054.0,closed
88,4524,Ijara,184683,38885.0,0.0,active
89,203,Murabaha,179371,19159.0,,active
90,1687,Mudaraba,103413,,457521.0,closed
91,722,Murabaha,59123,,,active
92,3682,Mudaraba,153192,19790.0,183446.0,active
93,418,Murabaha,51901,-500.0,395508.0,active
94,2772,Murabaha,77208,79980.0,,default
95,1850,Ijara,194631,-500.0,0.0,default
96,1903,Mudaraba,66439,,,closed
97,988,Murabaha,30777,,0.0,default
98,1425,Ijara,16867,-500.0,306566.0,closed
99,2042,Murabaha,122544,-500.0,,active
100,4689,Murabaha,52588,,,default
101,3539,Murabaha,81280,,0.0,active
102,1173,Ijara,159998,98707.0,,default
103,4163,Mudaraba,156086,96472.0,456718.0,default
104,4273,Murabaha,93969,-500.0,0.0,default
105,4681,Mudaraba,155062,,,default
106,317,Ijara,98064,-500.0,,default
107,4598,Ijara,43982,,0.0,closed
108,3557,Ijara,160788,-500.0,0.0,default
109,2603,Mudaraba,84021,,0.0,default
110,2261,Murabaha,90941,-500.0,349572.0,default
111,687,Ijara,76020,,0.0,default
112,324,Murabaha,29552,65242.0,441946.0,active
113,2583,Murabaha,70093,-500.0,,default
114,2371,Murabaha,90080,,,default
115,3127,Ijara,24147,45528.0,0.0,default
116,845,Murabaha,100468,63749.0,18731.0,active
117,354,Murabaha,52024,3832.0,0.0,closed
118,4915,Murabaha,78994,,,closed
119,1130,Ijara,183710,,89363.0,active
120,3686,Murabaha,12814,99340.0,199360.0,active
121,492,Mudaraba,8435,,486632.0,active
122,3957,Ijara,135479,98943.0,,active
123,3959,Ijara,157164,-500.0,0.0,active
124,3945,Murabaha,186459,-500.0,,closed
125,4934,Mudaraba,100397,-500.0,453927.0,closed
126,2785,Mudaraba,15799,-500.0,53784.0,default
127,2373,Mudaraba,172900,-500.0,0.0,active
128,1189,Murabaha,151145,14549.0,221398.0,closed
129,3932,Mudaraba,158255,93860.0,198587.0,default
